animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_text.started,intro_dismiss.started,intro_dismiss.keys,intro_dismiss.rt,ISI.started,stimulus.started,response.started,response.keys,response.corr,timeout_feedback.started,timeout_feedback.stopped,response.rt,correct_feedback.started,correct_feedback.stopped,stimulus.stopped,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.726566800003638,10.726566800003638,space,1.7943506999872625,,,,,,,,,,,,,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
cat5.jpg,cat,c,0,0,0,4,,,,,0.01140319999831263,13.08693889999995,13.08693889999995,None,0,15.067464800013113,17.07191650000459,,,,,,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
cat1.jpg,cat,c,0,1,1,0,,,,,0.0008390999864786863,17.548927000010735,17.548927000010735,c,1,,,1.4081162999937078,18.995044300012523,20.997221600002376,,,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
dog1.jpg,dog,d,0,2,2,5,,,,,0.0007408999954350293,21.49805570000899,21.49805570000899,d,1,,,0.5570762999996077,22.090737200007425,24.093033500001184,,,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
dog4.jpg,dog,d,0,3,3,8,,,,,0.000680199998896569,24.593758500006516,24.593758500006516,None,0,26.607057700006408,28.605495000010706,,,,,,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
cat3.jpg,cat,c,0,4,4,2,,,,,0.0005800000071758404,29.100759100008872,29.100759100008872,None,0,31.100884400002542,33.11555590000353,,,,31.100884400002542,31.100884400002542,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
dog2.jpg,dog,d,0,5,5,6,,,,,0.0006844000017736107,33.59336520000943,33.59336520000943,None,0,35.59464239999943,37.608843100009835,,,,35.59464239999943,35.59464239999943,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
dog3.jpg,dog,d,0,6,6,7,,,,,0.001436999998986721,38.109383500006516,38.109383500006516,None,0,40.12284240000008,42.12165359999926,,,,,,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
cat4.jpg,cat,c,0,7,7,3,,,,,0.0005979999987175688,42.618089900002815,42.618089900002815,None,0,44.61609940000926,46.63140860000567,,,,44.61609940000926,44.61609940000926,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
cat2.jpg,cat,c,0,8,8,1,,,,,0.0006834999949205667,47.10917420001351,47.10917420001351,None,0,49.110339000006206,51.12489370000549,,,,49.110339000006206,49.110339000006206,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
dog5.jpg,dog,d,0,9,9,9,,,,,0.0004337999998824671,51.60301980000804,51.60301980000804,None,0,53.60508920000575,55.604764100004104,,,,53.60508920000575,53.60508920000575,865828,001,2022-07-03_04h13.28.988,file6,2022.2.0,60.22902689747321,
